PeakID (cmd=annotatePeaks.pl bam_atac.mRp.clN_peaks.narrowPeak dm3_rel78.fa.gz -gid -gtf Drosophila_melanogaster.BDGP5.78.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
bam_atac.mRp.clN_peak_7855	3L	14088608	14088822	+	39	NA	exon (FBgn0000639, exon 2 of 2)	protein_coding-exon (FBgn0000639, exon 2 of 2)	2438	FBgn0000639	FBgn0000639	FBtr0334055			Fbp1			protein_coding
bam_atac.mRp.clN_peak_1023	2L	7841465	7841760	+	39	NA	TTS (FBgn0031954)	protein_coding-TTS (FBgn0031954)	1131	FBgn0031954	FBgn0031954	FBtr0079526			CG14537			protein_coding
bam_atac.mRp.clN_peak_139	2L	1030962	1031314	+	39	NA	intron (FBgn0031294, intron 2 of 10)	protein_coding-intron (FBgn0031294, intron 2 of 10)	3444	FBgn0031294	FBgn0031294	FBtr0332270			IA-2			protein_coding
bam_atac.mRp.clN_peak_7111	3L	8215560	8215924	+	39	NA	exon (FBgn0035859, exon 2 of 2)	protein_coding-exon (FBgn0035859, exon 2 of 2)	501	FBgn0035859	FBgn0035859	FBtr0076700			CG13678			protein_coding
bam_atac.mRp.clN_peak_14317	X	10303758	10304073	+	39	NA	TTS (FBgn0052683)	protein_coding-TTS (FBgn0052683)	-7603	FBgn0030200	FBgn0030200	FBtr0071448			RabX2			protein_coding
bam_atac.mRp.clN_peak_2653	2L	21026806	21027114	+	39	NA	intron (FBgn0250867, intron 3 of 6)	protein_coding-intron (FBgn0250867, intron 1 of 1)	-26073	FBgn0010395	FBgn0010395	FBtr0081461			betaInt-nu			protein_coding
bam_atac.mRp.clN_peak_10600	3R	9108355	9108877	+	39	NA	exon (FBgn0038130, exon 3 of 5)	protein_coding-exon (FBgn0038130, exon 3 of 5)	3171	FBgn0038130	FBgn0038130	FBtr0082737			CG8630			protein_coding
bam_atac.mRp.clN_peak_11142	3R	12962715	12963025	+	39	NA	promoter-TSS (FBgn0038485)	protein_coding-promoter-TSS (FBgn0038485)	-761	FBgn0038485	FBgn0038485	FBtr0083406			CG5255			protein_coding
bam_atac.mRp.clN_peak_6670	3L	4848342	4848657	+	39	NA	TTS (FBgn0052237)	protein_coding-TTS (FBgn0052237)	3962	FBgn0052237	FBgn0052237	FBtr0073356			CG32237			protein_coding
bam_atac.mRp.clN_peak_2384	2L	19068551	19069030	+	39	NA	exon (FBgn0032752, exon 1 of 6)	protein_coding-exon (FBgn0032752, exon 1 of 6)	1060	FBgn0032752	FBgn0032752	FBtr0303241			CG10702			protein_coding
bam_atac.mRp.clN_peak_4822	2R	12594168	12594992	+	39	NA	intron (FBgn0050463, intron 1 of 10)	protein_coding-intron (FBgn0050463, intron 2 of 11)	15377	FBgn0013763	FBgn0013763	FBtr0087111			CG5210			protein_coding
bam_atac.mRp.clN_peak_7795	3L	13550195	13550457	+	39	NA	intron (FBgn0264001, intron 7 of 13)	protein_coding-intron (FBgn0264001, intron 6 of 12)	-37621	FBgn0036377	FBgn0036377	FBtr0075817			CG10710			protein_coding
bam_atac.mRp.clN_peak_8812	3L	20895730	20895970	+	39	NA	Intergenic	Intergenic	-3045	FBgn0040637	FBgn0040637	FBtr0078265			CG11458			protein_coding
bam_atac.mRp.clN_peak_1662	2L	12755920	12756314	+	39	NA	Intergenic	Intergenic	5723	FBgn0032457	FBgn0032457	FBtr0080402			CG15483			protein_coding
bam_atac.mRp.clN_peak_12017	3R	19322990	19323368	+	39	NA	Intergenic	Intergenic	9956	FBgn0039080	FBgn0039080	FBtr0273205			Ir94h			protein_coding
bam_atac.mRp.clN_peak_5037	2R	14334024	14334310	+	39	NA	promoter-TSS (FBgn0034350)	protein_coding-promoter-TSS (FBgn0034350)	92	FBgn0034350	FBgn0034350	FBtr0086694			CG5189			protein_coding
bam_atac.mRp.clN_peak_11175	3R	13249095	13249510	+	39	NA	Intergenic	Intergenic	-1378	FBgn0038509	FBgn0038509	FBtr0083446			CG14332			protein_coding
bam_atac.mRp.clN_peak_6708	3L	5163390	5164092	+	39	NA	intron (FBgn0052423, intron 3 of 11)	protein_coding-intron (FBgn0052423, intron 3 of 10)	14156	FBgn0052423	FBgn0052423	FBtr0301599			shep			protein_coding
bam_atac.mRp.clN_peak_7221	3L	8918054	8918312	+	39	NA	intron (FBgn0035936, intron 2 of 6)	protein_coding-intron (FBgn0035936, intron 2 of 6)	9850	FBgn0264701	FBgn0264701	FBtr0333906			CR43970			ncRNA
bam_atac.mRp.clN_peak_15251	X	22113490	22113793	+	39	NA	Intergenic	Intergenic	-79096	FBgn0052499	FBgn0052499	FBtr0077362			Cda4			protein_coding
bam_atac.mRp.clN_peak_1626	2L	12473159	12473408	+	39	NA	intron (FBgn0259176, intron 2 of 2)	protein_coding-intron (FBgn0259176, intron 2 of 2)	-13193	FBgn0262203	FBgn0262203	FBtr0304239			mir-967			pre_miRNA
bam_atac.mRp.clN_peak_13749	X	2780676	2780923	+	39	NA	promoter-TSS (FBgn0029639)	protein_coding-promoter-TSS (FBgn0029639)	-852	FBgn0029639	FBgn0029639	FBtr0070564			CG14419			protein_coding
bam_atac.mRp.clN_peak_12063	3R	19598359	19598616	+	39	NA	promoter-TSS (FBgn0039117)	protein_coding-promoter-TSS (FBgn0039117)	42	FBgn0039117	FBgn0039117	FBtr0084462			tst			protein_coding
bam_atac.mRp.clN_peak_4788	2R	12319443	12319903	+	39	NA	promoter-TSS (FBgn0034126)	protein_coding-promoter-TSS (FBgn0034126)	-76	FBgn0034126	FBgn0034126	FBtr0087157			CG4398			protein_coding
bam_atac.mRp.clN_peak_9282	3L	24077478	24078010	+	39	NA	intron (FBgn0011288, intron 2 of 6)	protein_coding-intron (FBgn0011288, intron 2 of 7)	10415	FBgn0011288	FBgn0011288	FBtr0304626			Snap25			protein_coding
bam_atac.mRp.clN_peak_7637	3L	12249364	12249799	+	39	NA	intron (FBgn0260941, intron 2 of 11)	protein_coding-intron (FBgn0260941, intron 2 of 9)	-10433	FBgn0264723	FBgn0264723	FBtr0334104			CG43991			protein_coding
bam_atac.mRp.clN_peak_11412	3R	15049946	15050237	+	39	NA	intron (FBgn0262468, intron 2 of 8)	protein_coding-intron (FBgn0262468, intron 2 of 8)	2282	FBgn0262468	FBgn0262468	FBtr0083745			vib			protein_coding
bam_atac.mRp.clN_peak_8775	3L	20667727	20668491	+	39	NA	Intergenic	Intergenic	20369	FBgn0001320	FBgn0001320	FBtr0078283			kni			protein_coding
bam_atac.mRp.clN_peak_2146	2L	17041592	17041968	+	39	NA	TTS (FBgn0264346)	ncRNA-TTS (FBgn0264346)	1385	FBgn0264346	FBgn0264346	FBtr0332013			CR43802			ncRNA
bam_atac.mRp.clN_peak_14268	X	9623228	9623526	+	39	NA	promoter-TSS (FBgn0020378)	protein_coding-promoter-TSS (FBgn0020378)	-304	FBgn0020378	FBgn0020378	FBtr0331335			Sp1			protein_coding
bam_atac.mRp.clN_peak_3004	2R	484305	484518	+	39	NA	intron (FBgn0260799, intron 1 of 3)	protein_coding-intron (FBgn0260799, intron 1 of 4)	1613	FBgn0260799	FBgn0260799	FBtr0111114			p120ctn			protein_coding
bam_atac.mRp.clN_peak_7151	3L	8466384	8467579	+	39	NA	exon (FBgn0262719, exon 7 of 7)	protein_coding-exon (FBgn0262719, exon 7 of 7)	23959	FBgn0010825	FBgn0010825	FBtr0076618			Gug			protein_coding
bam_atac.mRp.clN_peak_12194	3R	20432862	20433077	+	39	NA	intron (FBgn0263490, intron 2 of 4)	protein_coding-intron (FBgn0263490, intron 2 of 5)	18333	FBgn0039212	FBgn0039212	FBtr0084670			Syx18			protein_coding
bam_atac.mRp.clN_peak_2072	2L	16510089	16510360	+	39	NA	exon (FBgn0032587, exon 3 of 3)	protein_coding-exon (FBgn0032587, exon 3 of 3)	9953	FBgn0032587	FBgn0032587	FBtr0301144			CG5953			protein_coding
bam_atac.mRp.clN_peak_2652	2L	21024512	21025307	+	39	NA	intron (FBgn0250867, intron 3 of 6)	protein_coding-intron (FBgn0250867, intron 1 of 1)	-28124	FBgn0010395	FBgn0010395	FBtr0081461			betaInt-nu			protein_coding
bam_atac.mRp.clN_peak_8178	3L	16470372	16470817	+	39	NA	intron (FBgn0004569, intron 1 of 3)	protein_coding-intron (FBgn0053158, intron 3 of 5)	6156	FBgn0004569	FBgn0004569	FBtr0075408			aos			protein_coding
bam_atac.mRp.clN_peak_9831	3R	3284241	3284494	+	39	NA	Intergenic	Intergenic	6585	FBgn0011998	FBgn0011998	FBtr0081536			tRNA:V3b:84Da			tRNA
bam_atac.mRp.clN_peak_10533	3R	8371541	8371872	+	39	NA	intron (FBgn0250910, intron 2 of 7)	protein_coding-intron (FBgn0250910, intron 2 of 9)	2245	FBgn0250910	FBgn0250910	FBtr0308597			Octbeta3R			protein_coding
bam_atac.mRp.clN_peak_3864	2R	5907507	5907889	+	39	NA	intron (FBgn0022382, intron 2 of 9)	protein_coding-intron (FBgn0022382, intron 2 of 9)	5849	FBgn0022382	FBgn0022382	FBtr0112902			Pka-R2			protein_coding
bam_atac.mRp.clN_peak_12164	3R	20210062	20210304	+	39	NA	exon (FBgn0039197, exon 2 of 5)	protein_coding-exon (FBgn0039197, exon 2 of 5)	569	FBgn0039196	FBgn0039196	FBtr0084623			CG17781			protein_coding
bam_atac.mRp.clN_peak_14188	X	8780293	8780659	+	39	NA	intron (FBgn0011661, intron 1 of 6)	protein_coding-intron (FBgn0011661, intron 1 of 6)	11889	FBgn0011661	FBgn0011661	FBtr0071272			Moe			protein_coding
bam_atac.mRp.clN_peak_7402	3L	10459575	10461208	+	39	NA	exon (FBgn0045770, exon 2 of 2)	protein_coding-exon (FBgn0045770, exon 2 of 2)	956	FBgn0045770	FBgn0045770	FBtr0334098			S-Lap3			protein_coding
bam_atac.mRp.clN_peak_1330	2L	10082003	10082645	+	39	NA	intron (FBgn0032180, intron 2 of 13)	protein_coding-intron (FBgn0032180, intron 2 of 13)	5560	FBgn0032180	FBgn0032180	FBtr0113032			CG31714			protein_coding
bam_atac.mRp.clN_peak_2839	2L	22354223	22354507	+	39	NA	promoter-TSS (FBgn0039972)	protein_coding-promoter-TSS (FBgn0039972)	10	FBgn0039972	FBgn0039972	FBtr0306236			CG17018			protein_coding
bam_atac.mRp.clN_peak_15244	X	21961545	21962083	+	39	NA	Intergenic	Intergenic	12881	FBgn0031197	FBgn0031197	FBtr0077361			CG17601			protein_coding
bam_atac.mRp.clN_peak_1822	2L	14154633	14155276	+	39	NA	intron (FBgn0028906, intron 1 of 4)	protein_coding-intron (FBgn0028906, intron 1 of 4)	8268	FBgn0263037	FBgn0263037	FBtr0306928			CG43332			protein_coding
bam_atac.mRp.clN_peak_8810	3L	20880416	20880641	+	39	NA	Intergenic	Intergenic	-2240	FBgn0052432	FBgn0052432	FBtr0333372			CG32432			protein_coding
bam_atac.mRp.clN_peak_1746	2L	13486138	13486392	+	39	NA	intron (FBgn0263354, intron 2 of 6)	protein_coding-intron (FBgn0263354, intron 4 of 8)	24491	FBgn0263354	FBgn0263354	FBtr0303440			CG42784			protein_coding
bam_atac.mRp.clN_peak_8562	3L	19185063	19185391	+	39	NA	intron (FBgn0016797, intron 3 of 5)	protein_coding-intron (FBgn0016797, intron 4 of 6)	-21479	FBgn0016797	FBgn0016797	FBtr0075029			fz2			protein_coding
bam_atac.mRp.clN_peak_14804	X	16715051	16715303	+	39	NA	intron (FBgn0030796, intron 1 of 6)	protein_coding-intron (FBgn0030796, intron 1 of 6)	9444	FBgn0030796	FBgn0030796	FBtr0112994			CG4829			protein_coding
bam_atac.mRp.clN_peak_13504	X	734632	735250	+	39	NA	promoter-TSS (FBgn0264449)	protein_coding-promoter-TSS (FBgn0264449)	-3915	FBgn0029535	FBgn0029535	FBtr0070142			CG14635			protein_coding
bam_atac.mRp.clN_peak_14519	X	13016335	13016711	+	39	NA	TTS (FBgn0052638)	protein_coding-TTS (FBgn0052638)	6140	FBgn0065101	FBgn0065101	FBtr0091636			snmRNA:204			ncRNA
bam_atac.mRp.clN_peak_8472	3L	18517645	18517881	+	39	NA	Intergenic	Intergenic	-2313	FBgn0052198	FBgn0052198	FBtr0075099			CG32198			protein_coding
bam_atac.mRp.clN_peak_9632	3R	1654060	1654674	+	39	NA	Intergenic	Intergenic	-1417	FBgn0037385	FBgn0037385	FBtr0078640			glob3			protein_coding
bam_atac.mRp.clN_peak_1434	2L	10678750	10679277	+	39	NA	exon (FBgn0040496, exon 3 of 3)	protein_coding-exon (FBgn0040496, exon 3 of 3)	1643	FBgn0040496	FBgn0040496	FBtr0080105			CG17104			protein_coding
bam_atac.mRp.clN_peak_1740	2L	13438081	13438487	+	39	NA	exon (FBgn0026760, exon 2 of 2)	protein_coding-exon (FBgn0026760, exon 2 of 2)	2662	FBgn0026760	FBgn0026760	FBtr0080502			Tehao			protein_coding
bam_atac.mRp.clN_peak_9480	3R	817931	818316	+	39	NA	intron (FBgn0037292, intron 1 of 3)	protein_coding-intron (FBgn0037292, intron 1 of 3)	-6281	FBgn0263343	FBgn0263343	FBtr0308777			CR43424			ncRNA
bam_atac.mRp.clN_peak_3437	2R	3059487	3060008	+	39	NA	promoter-TSS (FBgn0003090)	protein_coding-promoter-TSS (FBgn0003090)	-3644	FBgn0033149	FBgn0033149	FBtr0089045			CG11060			protein_coding
bam_atac.mRp.clN_peak_3558	2R	3723665	3724288	+	39	NA	TTS (FBgn0085390)	protein_coding-TTS (FBgn0085390)	4105	FBgn0040780	FBgn0040780	FBtr0113332			CG12821			protein_coding
bam_atac.mRp.clN_peak_9084	3L	22623967	22624542	+	39	NA	intron (FBgn0037171, intron 1 of 4)	protein_coding-intron (FBgn0037171, intron 1 of 4)	6762	FBgn0037171	FBgn0037171	FBtr0331779			CG14459			protein_coding
bam_atac.mRp.clN_peak_14839	X	17190125	17190604	+	39	NA	intron (FBgn0024238, intron 1 of 5)	protein_coding-intron (FBgn0024238, intron 1 of 4)	-4663	FBgn0024238	FBgn0024238	FBtr0074443			Fim			protein_coding
bam_atac.mRp.clN_peak_4558	2R	10733694	10734000	+	39	NA	promoter-TSS (FBgn0016684)	protein_coding-promoter-TSS (FBgn0016684)	-805	FBgn0016684	FBgn0016684	FBtr0329884			NaPi-T			protein_coding
bam_atac.mRp.clN_peak_3546	2R	3663010	3663418	+	39	NA	intron (FBgn0050497, intron 2 of 2)	protein_coding-intron (FBgn0050497, intron 2 of 2)	9497	FBgn0000337	FBgn0000337	FBtr0088931			cn			protein_coding
bam_atac.mRp.clN_peak_1009	2L	7751309	7751749	+	39	NA	TTS (FBgn0031942)	protein_coding-TTS (FBgn0031942)	1627	FBgn0031942	FBgn0031942	FBtr0290272			CG7203			protein_coding
bam_atac.mRp.clN_peak_2440	2L	19468134	19468353	+	39	NA	TTS (FBgn0000964)	protein_coding-TTS (FBgn0000964)	3384	FBgn0264391	FBgn0264391	FBtr0332319			CR43839			ncRNA
bam_atac.mRp.clN_peak_7926	3L	14724432	14724651	+	39	NA	intron (FBgn0259175, intron 1 of 8)	protein_coding-intron (FBgn0259175, intron 2 of 9)	2076	FBgn0036443	FBgn0036443	FBtr0075709			CG13471			protein_coding
bam_atac.mRp.clN_peak_11152	3R	13085975	13086308	+	39	NA	Intergenic	Intergenic	-12543	FBgn0038494	FBgn0038494	FBtr0083411			beat-IIb			protein_coding
bam_atac.mRp.clN_peak_8267	3L	17024152	17024602	+	39	NA	intron (FBgn0036690, intron 1 of 2)	protein_coding-intron (FBgn0036690, intron 1 of 2)	803	FBgn0036690	FBgn0036690	FBtr0290221			Ilp8			protein_coding
bam_atac.mRp.clN_peak_1597	2L	12309485	12310111	+	39	NA	intron (FBgn0000114, intron 8 of 8)	protein_coding-intron (FBgn0000114, intron 9 of 11)	-29050	FBgn0051862	FBgn0051862	FBtr0080350			CG31862			protein_coding
bam_atac.mRp.clN_peak_442	2L	3472068	3472475	+	39	NA	promoter-TSS (FBgn0051956)	protein_coding-promoter-TSS (FBgn0051956)	-332	FBgn0051956	FBgn0051956	FBtr0114524			pgant4			protein_coding
bam_atac.mRp.clN_peak_5627	2R	18733492	18734194	+	39	NA	exon (FBgn0034785, exon 2 of 4)	protein_coding-exon (FBgn0034785, exon 2 of 4)	319	FBgn0034785	FBgn0034785	FBtr0303785			CG3649			protein_coding
bam_atac.mRp.clN_peak_6111	3L	829120	829635	+	39	NA	TTS (FBgn0086066)	snoRNA-TTS (FBgn0086066)	615	FBgn0086066	FBgn0086066	FBtr0114342			snoRNA:Me5.8S-G74			snoRNA
bam_atac.mRp.clN_peak_14387	X	11285866	11286211	+	39	NA	intron (FBgn0001624, intron 2 of 12)	protein_coding-intron (FBgn0001624, intron 5 of 8)	-17942	FBgn0030296	FBgn0030296	FBtr0309222			CG15196			protein_coding
bam_atac.mRp.clN_peak_14509	X	12858833	12859072	+	39	NA	Intergenic	Intergenic	-2990	FBgn0052644	FBgn0052644	FBtr0305599			Mur11Da			protein_coding
bam_atac.mRp.clN_peak_1738	2L	13412924	13413870	+	39	NA	TTS (FBgn0032523)	protein_coding-TTS (FBgn0032523)	878	FBgn0032522	FBgn0032522	FBtr0080501			CG16848			protein_coding
bam_atac.mRp.clN_peak_4672	2R	11446828	11447194	+	39	NA	promoter-TSS (FBgn0034031)	protein_coding-promoter-TSS (FBgn0034031)	2578	FBgn0034031	FBgn0034031	FBtr0306572			CG12963			protein_coding
bam_atac.mRp.clN_peak_5248	2R	15855049	15856294	+	39	NA	Intergenic	Intergenic	-11078	FBgn0034479	FBgn0034479	FBtr0305676			CG8654			protein_coding
bam_atac.mRp.clN_peak_9193	3L	23398104	23398780	+	39	NA	Intergenic	Intergenic	66016	FBgn0052230	FBgn0052230	FBtr0070041			CG32230			protein_coding
bam_atac.mRp.clN_peak_7872	3L	14238366	14239522	+	39	NA	Intergenic	Intergenic	9209	FBgn0036417	FBgn0036417	FBtr0075741			CG7906			protein_coding
bam_atac.mRp.clN_peak_9564	3R	1280217	1280666	+	39	NA	exon (FBgn0037326, exon 5 of 8)	protein_coding-exon (FBgn0037326, exon 5 of 8)	8401	FBgn0037327	FBgn0037327	FBtr0330027			PEK			protein_coding
bam_atac.mRp.clN_peak_9429	3R	531865	532428	+	39	NA	intron (FBgn0263346, intron 1 of 6)	protein_coding-intron (FBgn0263346, intron 9 of 14)	7772	FBgn0037270	FBgn0037270	FBtr0078892			CG9769			protein_coding
bam_atac.mRp.clN_peak_8204	3L	16637299	16637830	+	39	NA	intron (FBgn0000017, intron 1 of 8)	protein_coding-intron (FBgn0000017, intron 1 of 7)	3418	FBgn0000017	FBgn0000017	FBtr0330136			Abl			protein_coding
bam_atac.mRp.clN_peak_13844	X	4263593	4263975	+	39	NA	exon (FBgn0029706, exon 5 of 6)	protein_coding-exon (FBgn0029706, exon 5 of 6)	-1031	FBgn0262282	FBgn0262282	FBtr0304407			mir-984			pre_miRNA
bam_atac.mRp.clN_peak_4717	2R	11743408	11743710	+	39	NA	promoter-TSS (FBgn0034047)	protein_coding-promoter-TSS (FBgn0034047)	93	FBgn0034047	FBgn0034047	FBtr0308816			CG12970			protein_coding
bam_atac.mRp.clN_peak_6887	3L	6627177	6628247	+	39	NA	exon (FBgn0004619, exon 12 of 13)	protein_coding-exon (FBgn0004619, exon 12 of 13)	10580	FBgn0004619	FBgn0004619	FBtr0076982			Glu-RI			protein_coding
bam_atac.mRp.clN_peak_1820	2L	14117903	14118536	+	39	NA	Intergenic	Intergenic	-7480	FBgn0051769	FBgn0051769	FBtr0080602			CG31769			protein_coding
bam_atac.mRp.clN_peak_13319	4	567334	567783	+	39	NA	exon (FBgn0026869, exon 6 of 6)	protein_coding-exon (FBgn0026869, exon 6 of 6)	10922	FBgn0026869	FBgn0026869	FBtr0089106			Thd1			protein_coding
bam_atac.mRp.clN_peak_5442	2R	17352371	17352873	+	39	NA	intron (FBgn0010415, intron 2 of 6)	protein_coding-intron (FBgn0010415, intron 2 of 5)	-16812	FBgn0026369	FBgn0026369	FBtr0071642			Sara			protein_coding
bam_atac.mRp.clN_peak_506	2L	4013685	4014218	+	39	NA	Intergenic	Intergenic	5298	FBgn0264296	FBgn0264296	FBtr0331499			CG43774			protein_coding
bam_atac.mRp.clN_peak_14448	X	11809389	11809699	+	39	NA	intron (FBgn0250871, intron 1 of 6)	protein_coding-intron (FBgn0250871, intron 1 of 6)	1742	FBgn0250871	FBgn0250871	FBtr0073594			pot			protein_coding
bam_atac.mRp.clN_peak_9824	3R	3162190	3162500	+	39	NA	Intergenic	Intergenic	-8446	FBgn0051496	FBgn0051496	FBtr0081582			CG31496			protein_coding
bam_atac.mRp.clN_peak_2691	2L	21277277	21278002	+	39	NA	exon (FBgn0032938, exon 8 of 11)	protein_coding-exon (FBgn0032938, exon 8 of 11)	6634	FBgn0041336	FBgn0041336	FBtr0330681			Cyp6t2Psi			pseudogene
bam_atac.mRp.clN_peak_808	2L	6308941	6309348	+	39	NA	promoter-TSS (FBgn0264543)	protein_coding-promoter-TSS (FBgn0264543)	325	FBgn0260452	FBgn0260452	FBtr0079247			CG13984			protein_coding
bam_atac.mRp.clN_peak_6047	3L	517200	517549	+	39	NA	intron (FBgn0001316, intron 1 of 16)	protein_coding-intron (FBgn0001316, intron 1 of 18)	-10965	FBgn0085298	FBgn0085298	FBtr0112464			CG34269			protein_coding
bam_atac.mRp.clN_peak_1340	2L	10186394	10186818	+	39	NA	exon (FBgn0028675, exon 17 of 24)	protein_coding-exon (FBgn0028675, exon 17 of 24)	4890	FBgn0051874	FBgn0051874	FBtr0079964			CG31874			protein_coding
bam_atac.mRp.clN_peak_6912	3L	6827428	6827655	+	39	NA	Intergenic	Intergenic	44283	FBgn0086680	FBgn0086680	FBtr0330059			vvl			protein_coding
bam_atac.mRp.clN_peak_819	2L	6404219	6404459	+	39	NA	intron (FBgn0259714, intron 2 of 9)	protein_coding-intron (FBgn0259714, intron 2 of 9)	6967	FBgn0259714	FBgn0259714	FBtr0299967			CG42368			protein_coding
bam_atac.mRp.clN_peak_8222	3L	16744319	16744554	+	39	NA	Intergenic	Intergenic	-4153	FBgn0262099	FBgn0262099	FBtr0304017			CG42852			protein_coding
bam_atac.mRp.clN_peak_5218	2R	15538826	15539214	+	39	NA	Intergenic	Intergenic	-3870	FBgn0034462	FBgn0034462	FBtr0303023			CG15905			protein_coding
bam_atac.mRp.clN_peak_9611	3R	1536933	1537304	+	39	NA	exon (FBgn0261261, exon 7 of 7)	protein_coding-exon (FBgn0261261, exon 7 of 7)	5904	FBgn0004878	FBgn0004878	FBtr0078725			cas			protein_coding
bam_atac.mRp.clN_peak_5763	2R	19659064	19659409	+	39	NA	intron (FBgn0034903, intron 4 of 13)	protein_coding-intron (FBgn0034903, intron 4 of 13)	18972	FBgn0034902	FBgn0034902	FBtr0072091			CG5532			protein_coding
bam_atac.mRp.clN_peak_8006	3L	15214109	15214528	+	39	NA	Intergenic	Intergenic	13374	FBgn0036490	FBgn0036490	FBtr0075644			CG6888			protein_coding
bam_atac.mRp.clN_peak_5134	2R	14938993	14939447	+	39	NA	Intergenic	Intergenic	4209	FBgn0034415	FBgn0034415	FBtr0086596			CG15116			protein_coding
bam_atac.mRp.clN_peak_11604	3R	16597870	16598227	+	39	NA	exon (FBgn0046689, exon 2 of 4)	protein_coding-exon (FBgn0046689, exon 2 of 4)	275	FBgn0046689	FBgn0046689	FBtr0083996			Takl1			protein_coding
bam_atac.mRp.clN_peak_11239	3R	13780504	13780890	+	39	NA	intron (FBgn0263995, intron 2 of 11)	protein_coding-intron (FBgn0263995, intron 2 of 11)	10869	FBgn0263995	FBgn0263995	FBtr0330280			cpo			protein_coding
bam_atac.mRp.clN_peak_2791	2L	22076881	22077317	+	39	NA	Intergenic	Intergenic	-2573	FBgn0032971	FBgn0032971	FBtr0085935			ttm3			protein_coding
bam_atac.mRp.clN_peak_15174	X	21310002	21310405	+	39	NA	intron (FBgn0259245, intron 3 of 9)	protein_coding-intron (FBgn0259245, intron 3 of 9)	-9920	FBgn0031178	FBgn0031178	FBtr0077218			CG10918			protein_coding
bam_atac.mRp.clN_peak_1991	2L	15558514	15558801	+	39	NA	intron (FBgn0028370, intron 2 of 3)	protein_coding-intron (FBgn0028370, intron 2 of 3)	5934	FBgn0028370	FBgn0028370	FBtr0300848			kek3			protein_coding
bam_atac.mRp.clN_peak_9963	3R	4286018	4286615	+	39	NA	intron (FBgn0263416, intron 1 of 15)	protein_coding-intron (FBgn0263416, intron 1 of 15)	16999	FBgn0263416	FBgn0263416	FBtr0309232			CG43462			protein_coding
bam_atac.mRp.clN_peak_7045	3L	7816281	7816726	+	39	NA	intron (FBgn0016694, intron 1 of 5)	protein_coding-intron (FBgn0016694, intron 1 of 4)	-13578	FBgn0052369	FBgn0052369	FBtr0076783			CG32369			protein_coding
bam_atac.mRp.clN_peak_4255	2R	8510332	8510871	+	39	NA	promoter-TSS (FBgn0050054)	protein_coding-promoter-TSS (FBgn0050054)	-683	FBgn0050054	FBgn0050054	FBtr0302389			CG30054			protein_coding
bam_atac.mRp.clN_peak_7031	3L	7734237	7734757	+	39	NA	intron (FBgn0035815, intron 1 of 8)	protein_coding-intron (FBgn0052373, intron 1 of 7)	1288	FBgn0035815	FBgn0035815	FBtr0301205			Snmp2			protein_coding
bam_atac.mRp.clN_peak_9278	3L	24055085	24055743	+	39	NA	Intergenic	Intergenic	-11915	FBgn0011288	FBgn0011288	FBtr0304626			Snap25			protein_coding
bam_atac.mRp.clN_peak_6321	3L	2407713	2408057	+	39	NA	exon (FBgn0035338, exon 2 of 2)	protein_coding-exon (FBgn0035338, exon 2 of 2)	7376	FBgn0035338	FBgn0035338	FBtr0303462			CG13800			protein_coding
bam_atac.mRp.clN_peak_14284	X	9966537	9966842	+	39	NA	exon (FBgn0052685, exon 10 of 11)	protein_coding-exon (FBgn0052685, exon 10 of 11)	-1790	FBgn0030174	FBgn0030174	FBtr0309221			CG15312			protein_coding
bam_atac.mRp.clN_peak_6883	3L	6609345	6610142	+	39	NA	intron (FBgn0035708, intron 2 of 3)	protein_coding-intron (FBgn0035708, intron 2 of 3)	2971	FBgn0035708	FBgn0035708	FBtr0330184			CG8398			protein_coding
bam_atac.mRp.clN_peak_7458	3L	10917801	10918174	+	39	NA	Intergenic	Intergenic	-19569	FBgn0054050	FBgn0054050	FBtr0100105			CG34050			protein_coding
bam_atac.mRp.clN_peak_3980	2R	6657664	6657914	+	39	NA	intron (FBgn0053144, intron 1 of 7)	protein_coding-intron (FBgn0053144, intron 1 of 7)	9506	FBgn0263802	FBgn0263802	FBtr0309816			CR43605			ncRNA
bam_atac.mRp.clN_peak_7676	3L	12545225	12545622	+	39	NA	intron (FBgn0036302, intron 3 of 9)	protein_coding-intron (FBgn0036302, intron 3 of 12)	10613	FBgn0263587	FBgn0263587	FBtr0309822			CR43612			ncRNA
bam_atac.mRp.clN_peak_3932	2R	6376373	6376834	+	39	NA	TTS (FBgn0005630)	protein_coding-TTS (FBgn0005630)	8938	FBgn0033529	FBgn0033529	FBtr0088274			CG17765			protein_coding
bam_atac.mRp.clN_peak_13468	X	439612	439998	+	39	NA	intron (FBgn0000108, intron 2 of 10)	protein_coding-intron (FBgn0000108, intron 2 of 11)	15302	FBgn0000108	FBgn0000108	FBtr0307291			Appl			protein_coding
bam_atac.mRp.clN_peak_5113	2R	14769674	14770058	+	39	NA	intron (FBgn0034408, intron 2 of 7)	protein_coding-intron (FBgn0034408, intron 2 of 7)	3967	FBgn0034408	FBgn0034408	FBtr0086569			sano			protein_coding
